Food Related,Bill Number,Bill Title,Introducers,Committee Assignment,Current Status,Description,Bill URL,Archived
false,SB814,RELATING TO THE UNIVERSITY OF HAWAII.,RHOADS_ AQUINO_ CHANG_ HASHIMOTO,HRE_ WAM/JDC,S 1/23/2025: Referred to HRE_ WAM/JDC.,Allows certain undocumented students to be considered residents of the State for the purposes of tuition_ financial assistance_ and University of Hawaii program participation under certain conditions.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=814&year=2025,true
false,HB156,RELATING TO TOBACCO PRODUCTS.,"MATAYOSHI, CHUN, EVSLIN, GARRETT, KITAGAWA, KUSCH, LA CHICA, OLDS, TAKAYAMA, TAM, TARNAS","HLT, CPC, FIN","(H) 1/21/2025- Referred to HLT, CPC, FIN, referral sheet 1","Repeals existing law that preempted local ordinances or regulations that regulate the sale of cigarettes, tobacco products, and electronic smoking devices and nullified and voided any conflicting local laws and regulations.  Allows counties to adopt ordinances that regulate the sale of cigarettes, tobacco products, and electronic smoking devices that do not conflict with and are more stringent than the state law that govern smoking.",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=156&year=2025,true
false,SB1621 SD1,RELATING TO NAIL TECHNICIANS.,KIM_ CHANG_ DECOITE_ FEVELLA_ KIDANI_ Hashimoto,CPN_ WAM,S 3/4/2025: Recommitted to WAM.,Exempts nail technicians from licensing requirements.  (SD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1621&year=2025,true
false,SB1623,RELATING TO CONDOMINIUMS.,CHANG,CPN,S 1/27/2025: Referred to CPN.,Requires individual managing agents and employees of entity managing agents to be licensed and imposes certain duties on these individuals.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1623&year=2025,true
false,SB1626,RELATING TO LOAN REPAYMENT FOR HEALTHCARE PROFESSIONALS.,MORIWAKI,HHS_ WAM,S 1/27/2025: Referred to HHS_ WAM.,Appropriates funds for the Healthcare Education Loan Repayment Program.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1626&year=2025,true
false,SB1645,RELATING TO INSURANCE.,FEVELLA,HHS_ CPN,S 1/27/2025: Referred to HHS_ CPN.,Provides that after 12/31/2025_ each new or renewed contract between a mutual benefit society and a physician for a fee for service plan shall provide for:  (1) The reimbursement of the physician's increased overhead costs_ cost of living increases_ and increased costs caused by inflation; and (2) An increase of 10% in the reimbursement rate of services after each 5-year period that the physician is in service.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1645&year=2025,true
false,SB1643,RELATING TO THE USE OF INTOXICANTS WHILE OPERATING A VEHICLE.,FEVELLA_ CHANG_ Awa,TCA_ JDC,S 1/27/2025: Referred to TCA_ JDC.,Lowers the blood alcohol content threshold for driving while under the influence of an intoxicant.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1643&year=2025,true
false,SB1667 SD2 HD3,RELATING TO TRANSPORTATION.,LEE_ C.,TRN_ JHA_ FIN,S 4/25/2025: Conference committee meeting to reconvene on 04-25-25 5:15 PM; Conference Room 225.,Requires_ when planning and managing state highways_ in certain areas to be determined by certain national standards.  Establishes requirements for the State Highway Safety and Modernization Council.  Authorizes the State Highway Safety and Modernization Council to select potential areas for the Department of Transportation to install additional photo red light imaging detector systems.  Prohibits any vehicles from blocking marked crosswalks.  Authorizes the Department of Transportation to implement additional automated speed enforcement systems in school zones as designated by the Safe Routes to School Advisory Committee.  Requires annual reports.  Requires the Department of Transportation to collaborate with the Judiciary before any expansion of the photo red light imaging detector and automated speed enforcement systems.  Appropriates funds.  Effective 7/1/3000.  (HD3),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1667&year=2025,true
false,SB192,RELATING TO EXPLOSION DETECTION TECHNOLOGY.,FEVELLA_ AQUINO_ GABBARD_ MCKELVEY_ San Buenaventura,PSM/EIG_ WAM/JDC,S 1/17/2025: Referred to PSM/EIG_ WAM/JDC.,Requires the county police departments to purchase and deploy explosion detection technology equipment to assist in the location of and response to explosions caused by the illegal use of firearms and fireworks.  Appropriates moneys to the counties as a grant in aid.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=192&year=2025,true
true,SB1182,RELATING TO INTEGRATED LAND USE.,GABBARD,WTL/AEN_ WAM,S 1/27/2025: Referred to WTL/AEN_ WAM.,Requires the Office of Planning and Sustainable Development to conduct an integrated land use study for the use of lands within the agricultural districts and submit interim and final reports to the Legislature.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1182&year=2025,true
false,SB858,RELATING TO PROCUREMENT.,AQUINO_ CHANG_ FEVELLA_ HASHIMOTO_ KIDANI_ MORIWAKI,LBT/GVO_ WAM,S 1/23/2025: Referred to LBT/GVO_ WAM.,Replaces the five per cent bid preference for bidders for a public works contract with an estimated value of $250_000 or more_ who is a party to an apprenticeship agreement registered with the Department of Labor and Industrial Relations with a five per cent earned credit that can be applied to certain future public works contract bids for a duration of three years after the chief procurement officer issues the earned credit certificate.  Authorizes purchasing agencies to audit and have full access to the books and records of contractors or subcontractors relating to the contractor's compliance with requirements of the earned credit bid preference.  Requires contractors and subcontractors to maintain relevant records for three years.  Requires the contractor to submit reports as required by the Chief Procurement Officer.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=858&year=2025,true
false,SB861,RELATING TO EXPUNGEMENT.,RHOADS,JDC,S 2/5/2025: The committee on JDC deferred the measure.,Authorizes the Hawaii Criminal Justice Data Center to transmit all expungement orders to the Judiciary to effectuate the purposes of Act 159_ SLH 2023.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=861&year=2025,true
false,SB867 SD2,RELATING TO AFFORDABLE HOUSING.,KANUHA_ CHANG_ DECOITE_ GABBARD_ HASHIMOTO_ KIDANI_ RHOADS_ RICHARDS,WAL_ HSG_ FIN,H 3/11/2025: The committee(s) on WAL recommend(s) that the measure be deferred.,Establishes a working group within the Office of the Governor for administrative purposes to ascertain the State's available water resources and water system source capacity and to streamline well permit approval processes to further plan for the development of affordable housing.  Requires the working group to inventory all available water resources statewide and identify sources of aquifer replenishment in relation to affordable housing development.  Requires an interim and final report to the Legislature.  (SD2),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=867&year=2025,true
false,HB59,RELATING TO DISABLED VETERANS.,"SOUZA, OLDS, PERRUSO, POEPOE","PBS/TRN, FIN","(H) 1/27/2025- Re-referred to PBS/TRN, FIN, referral sheet 4","Exempts qualifying disabled veterans from county vehicle registration fees, highway beautification fees, and vehicle weight taxes.",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=59&year=2025,true
false,SB1190,RELATING TO THE HAWAII INVASIVE SPECIES COUNCIL.,GABBARD_ MCKELVEY_ RHOADS_ RICHARDS_ SAN BUENAVENTURA,WTL/AEN_ WAM,S 1/27/2025: Referred to WTL/AEN_ WAM.,Appropriates funds to the Hawaii Invasive Species Council to support its initiatives to control and eradicate invasive species in the State.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1190&year=2025,true
true,SB443 SD1 HD2,RELATING TO AGRICULTURAL LANDS.,DELA CRUZ_ AQUINO_ HASHIMOTO_ INOUYE_ KIDANI_ KIM_ San Buenaventura,AGR/EEP_ CPC,H 4/15/2025: Received notice of Senate conferees (Sen. Com. No. 789).,Requires that lands within the agricultural district with class B or C soils that have solar or wind energy facilities must also obtain certification from the Department of Agriculture that the lands are also used for a farming operation.  Effective 7/1/3000.  (HD2),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=443&year=2025,true
false,SB1298 SD2 HD2 CD1,RELATING TO RECYCLING.,DECOITE_ GABBARD_ RICHARDS_ WAKAI_ Keohokalole,EEP_ CPC,H 6/3/2025: Act 162_ on 06/03/2025 (Gov. Msg. No. 1262).,Expands the types of electronic devices subject to the Electronic Device Recycling and Recovery Act to include electronic device peripherals and certain legacy devices.  Excludes manufacturers of only electronic device peripherals and no other electronic devices.  Allows_ rather than requires_ the Department of Health to determine additional penalties.  Requires manufacturers' recycling plans to describe communication efforts with the State and counties to facilitate consumer education efforts.  Repeals the requirement that recycling plans be implemented and fully operational by 1/1/2023 in order for manufacturer collaboration authority to apply.  Establishes additional manufacturer recycling goals beginning on 1/1/2026 and 1/1/2027.  Requires additional information to be included in manufacturers' reports containing information for calendar years 2025_ 2026_ and 2027.  Requires collectors to report certain information regarding recyclers and refurbishers and allows the Department of Health to require submission of bills of lading and recycler receiving reports.  Requires a report to the Legislature.  (CD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1298&year=2025,true
false,SB980,RELATING TO ALCOHOL.,WAKAI_ MCKELVEY,CPN_ WAM,S 1/23/2025: Referred to CPN_ WAM.,"Establishes a definition of ""low alcohol by volume spirits beverage"".  Beginning 7/1/2025_ establishes a tax on low alcohol by volume spirits beverages at a rate of $1.10 per wine gallon.  Takes effect 6/30/2025.",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=980&year=2025,true
false,SB1027,RELATING TO DOGS.,LEE_ C._ CHANG_ MCKELVEY,HHS_ CPN/JDC,S 1/23/2025: Referred to HHS_ CPN/JDC.,Allows dogs in restaurants at the restaurant owner's or manager's discretion_ provided that certain conditions are met.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1027&year=2025,true
false,SB1313,RELATING TO THE OFFENSE OF PROMOTING PORNOGRAPHY FOR MINORS.,KOUCHI (Introduced by request of another party),JDC,S 2/4/2025: Re-Referred to JDC.,Authorizes the offense of Promoting Pornography for Minors to be instituted by written information.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1313&year=2025,true
false,HB1139,RELATING TO ENVIRONMENTAL STEWARDSHIP FEES.,NAKAMURA (Introduced by request of another party),"TOU, WAL, FIN","(H) 1/23/2025- Referred to TOU, WAL, FIN, referral sheet 3","Establishes within the Department of Land and Natural Resources the environmental stewardship fee program to collect a fee from visitors through an environmental stewardship license and allocate the revenue to protect, restore, and manage natural and cultural resources through grants to nonprofit organizations.  Establishes the environmental stewardship fee special fund.  Establishes the Environmental Stewardship Commission to make recommendations to the Board of Land and Natural Resources regarding the use of revenues in the special fund.  Requires the Department of Land and Natural Resources to conduct rulemaking.  Requires a report to the legislature, including an environmental stewardship fee strategic plan.  Creates civil or administrative penalties to be imposed after July 1, 2030.  Appropriates funds.",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1139&year=2025,true
false,HB112,RELATING TO THE DEPARTMENT OF HEALTH.,ICHIYAMA,"HLT, FIN","(H) 1/21/2025- Referred to HLT, FIN, referral sheet 1",Appropriates funds to the Department of Health to establish and operate a free statewide mental health warm line to provide mental health support in non-emergency situations.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=112&year=2025,true
true,HB687,RELATING TO THE SUPPLEMENTAL NUTRITION ASSISTANCE PROGRAM.,"KAPELA, AMATO, BELATTI, GRANDINETTI, KAHALOA, TAKAYAMA","HSH, FIN","(H) 1/21/2025- Referred to HSH, FIN, referral sheet 2","For the Supplemental Nutrition Assistance Program, requires the Department of Human Services to:  (1) prorate or exclude certain income from household members who are ineligible for the Program; (2) establish a standardized medical expense deduction option for elderly or disabled household members; (3) establish a pre-release Program application form for individuals who are incarcerated and scheduled for release; and (4) report to the Legislature.  Specifies that, for purposes of the Supplemental Nutrition Assistance Program, the federal restriction of providing Program benefits to certain individuals does not apply in Hawaii.",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=687&year=2025,true
false,HB8,RELATING TO ENVIRONMENT.,LOWEN,EEP,"(H) 1/21/2025- Referred to EEP, referral sheet 1",Short form bill relating to environment.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=8&year=2025,true
false,SB1145,RELATING TO BICYCLES.,MORIWAKI_ KIDANI_ Wakai,TCA_ WAM,S 1/23/2025: Referred to TCA_ WAM.,Requires bike owners to pay an annual registration fee each year.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1145&year=2025,true
false,SB171,RELATING TO ACCESS TO HIGHER EDUCATION.,RHOADS_ HASHIMOTO,HRE_ WAM,S 1/17/2025: Referred to HRE_ WAM.,Expands eligibility for scholarships under the Hawaii Community College Promise Program to all qualified students.  Appropriates funds.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=171&year=2025,true
false,SB901,RELATING TO GOVERNMENT OPERATIONS.,KANUHA,GVO,S 1/23/2025: Referred to GVO.,Short form bill.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=901&year=2025,true
false,SB1072,RELATING TO INVASIVE SPECIES.,KEOHOKALOLE_ RICHARDS,WTL/AEN_ WAM,S 1/23/2025: Referred to WTL/AEN_ WAM.,Appropriates funds to support the efforts of the Division of Aquatic Resources in the removal of the majano anemone from Kaneohe Bay.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1072&year=2025,true
false,SB1239,RELATING TO WATER CONSERVATION.,AWA_ DECORTE,WTL/HHS_ JDC/WAM,S 1/27/2025: Referred to WTL/HHS_ JDC/WAM.,Prohibits the use of potable water to irrigate golf courses subject to certain exceptions.  Defines potable water.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1239&year=2025,true
false,SB1258,RELATING TO GREEN BONDS.,GABBARD,EDT_ WAM,S 1/27/2025: Referred to EDT_ WAM.,Establishes a Green Bonds Working Group within the Department of Business_ Economic Development_ and Tourism.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1258&year=2025,true
false,HB260,RELATING TO TAXATION.,"ALCOS, WARD","EEP, TRN, FIN","(H) 1/21/2025- Referred to EEP, TRN, FIN, referral sheet 1",Eliminates state taxes on gasoline and diesel fuel for motor vehicles.  Requires savings be passed from distributor to consumer.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=260&year=2025,true
false,SB60,RELATING TO LEAF BLOWERS.,RHOADS_ FUKUNAGA_ KIM_ MORIWAKI_ Wakai,EIG_ JDC,S 1/16/2025: Referred to EIG_ JDC.,"Defines ""residential zone"" for purposes of leaf blower restrictions to include residential districts_ apartment districts_ and business mixed use districts.",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=60&year=2025,true
false,HB388,RELATING TO TORTURE.,NAKAMURA (Introduced by request of another party),JHA,(H) 2/7/2025- The committee(s) on JHA recommend(s) that the measure be deferred.,Defines and prohibits the offense of torture.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=388&year=2025,true
false,HB802,RELATING TO NON-GENERAL FUNDS.,YAMASHITA,FIN,"(H) 1/21/2025- Referred to FIN, referral sheet 2",Short form bill relating to non-general funds.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=802&year=2025,true
false,HB1211,RELATING TO WORKFORCE DEVELOPMENT.,GARRETT,"LAB, FIN","(H) 1/27/2025- Referred to LAB, FIN, referral sheet 4",Establishes within the Department of Human Resources Development the state internship and workforce development program.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1211&year=2025,true
false,HB1386,RELATING TO UNIVERSITY OF HAWAII ATHLETICS.,GARRETT,HED,"(H) 1/27/2025- Referred to HED, referral sheet 4",Short form bill relating to University of Hawaii athletics.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1386&year=2025,true
false,SB119 SD1 HD1 CD1,RELATING TO NURSING.,HASHIMOTO_ DECOITE_ FEVELLA_ KIM_ MCKELVEY,HED_ FIN,S 5/2/2025: Enrolled to Governor.,Appropriates funds to establish a Bachelor of Science in Nursing degree program at the University of Hawaii Maui College.  (CD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=119&year=2025,true
false,SB283 SD1,RELATING TO BRIBERY.,KOUCHI (Introduced by request of another party),JHA,H 3/20/2025: The committee(s) on JHA recommend(s) that the measure be deferred.,Establishes heightened penalties for the offense of bribery_ under certain circumstances.  (SD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=283&year=2025,true
false,SB459,RELATING TO THE DEPUTY DIRECTOR OF HIGHWAYS OF THE DEPARTMENT OF TRANSPORTATION.,RHOADS,TCA_ JDC,S 1/21/2025: Referred to TCA_ JDC.,Requires the Deputy Director of Highways of the Department of Transportation to be subject to the advice and consent of the Senate.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=459&year=2025,true
false,SB460,RELATING TO DOMESTIC ABUSE.,RHOADS_ FUKUNAGA_ MORIWAKI,HHS_ JDC,S 1/21/2025: Referred to HHS_ JDC.,Specifies that any minor who resides in the same household as a victim of domestic abuse may file a petition for and be granted an order of protection or temporary restraining order.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=460&year=2025,true
false,SB452,RELATING TO MEAL BREAKS.,RHOADS,LBT_ JDC,S 1/21/2025: Referred to LBT_ JDC.,Prohibits employers from requiring employees to work for more than five consecutive hours without a meal break unless otherwise provided in collective bargaining agreements.  Establishes penalties.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=452&year=2025,true
false,SB742 SD2 HD1 CD1,RELATING TO DATA SHARING.,DELA CRUZ,ECD_ FIN,H 6/3/2025: Act 154_ on 06/03/2025 (Gov. Msg. No. 1254).,Establishes a Data Sharing and Governance Working Group within the Office of Enterprise Technology Services.  Requires a report to the Legislature.  (CD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=742&year=2025,true
true,SB658 SD1,RELATING TO THE HAWAII ANT LAB.,GABBARD_ CHANG_ Elefante_ Fukunaga_ Wakai,AEN_ WAM,S 2/13/2025: Report adopted; Passed Second Reading_ as amended (SD 1) and referred to WAM.,Appropriates funds to the Department of Agriculture to support the Hawaii Ant Lab in mitigating the effects of little fire ants in the State.  Effective 7/1/2050.  (SD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=658&year=2025,true
false,HB301,RELATING TO DOMESTIC ABUSE PROTECTIVE ORDERS.,"TAKAYAMA, LAMOSAO, MARTEN, MATAYOSHI, MATSUMOTO, MIYAKE, POEPOE, SAYAMA, TAKENOUCHI, TAM, TODD, WARD","JHA, FIN",(H) 2/5/2025- The committee(s) on JHA recommend(s) that the measure be deferred.,Makes a second or subsequent conviction for violation of a domestic abuse protective order a class C felony.  Increases the sentencing requirements for second or subsequent convictions.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=301&year=2025,true
false,SB895,RELATING TO EDUCATION.,KANUHA,EDU,S 1/23/2025: Referred to EDU.,Short form bill.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=895&year=2025,true
false,SB718,RELATING TO EQUITY.,AQUINO_ CHANG_ FEVELLA_ FUKUNAGA_ HASHIMOTO_ KIDANI_ RHOADS,HHS/GVO_ CPN/WAM,S 1/23/2025: Referred to HHS/GVO_ CPN/WAM.,Requires all places of public accommodation and public entity constructions constructed after 7/31/2026_ to provide universal changing accommodations that are equally accessible regardless of gender.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=718&year=2025,true
true,SB63,RELATING TO EDUCATION.,CHANG_ FEVELLA_ GABBARD_ HASHIMOTO_ MCKELVEY_ San Buenaventura,EDU_ WAM,S 1/16/2025: Referred to EDU_ WAM.,Beginning with the     -     school year_ requires public elementary_ middle_ and high school classes to start no earlier than 8:30 a.m.  Requires the Department of Education to adjust state-provided bus and school meal schedules accordingly.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=63&year=2025,true
true,SB791,RELATING TO FOOD DYES.,DECORTE_ GABBARD_ INOUYE,EDU_ WAM,S 1/23/2025: Referred to EDU_ WAM.,Prohibits certain food dye additives from being served in school meals of the Department of Education and charter schools.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=791&year=2025,true
false,SB574,RELATING TO THE PUBLIC PREKINDERGARTEN PROGRAM.,HASHIMOTO_ FEVELLA,EDU_ WAM,S 1/23/2025: Referred to EDU_ WAM.,Allows children having a parent or guardian who is a public school teacher to have priority for enrollment in the Executive Office on Early Learning public prekindergarten program.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=574&year=2025,true
false,SB1139,RELATING TO MEDICAID.,MCKELVEY_ CHANG_ HASHIMOTO_ RHOADS_ San Buenaventura,HHS_ WAM,S 1/23/2025: Referred to HHS_ WAM.,Directs the Department of Human Services to adopt rules to expand Medicaid eligibility to all children in the State from birth to age 5 years without regard to household income.  Appropriates moneys.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1139&year=2025,true
false,HB1364,RELATING TO LIQUOR LICENSES.,TODD,"CPC, JHA","(H) 1/27/2025- Referred to CPC, JHA, referral sheet 4",Authorizes liquor sold through a class 10 license to be consumed on or off the premises.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1364&year=2025,true
false,SB1087,RELATING TO AN AIRPORTS CORPORATION.,INOUYE,TCA/LBT_ WAM/JDC,S 1/23/2025: Referred to TCA/LBT_ WAM/JDC.,Establishes the Hawaii Airports Corporation (HAC)to assume the authority_ functions_ and duties of the Department of Transportation related to airports and aeronautics.  Makes HAC subject to chapters 103D and 104_ HRS.  Provides for project labor agreements.  Appropriates funds for the transfer of functions from DOT to HAC.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1087&year=2025,true
false,SB680,RELATING TO RENEWABLE ENERGY.,GABBARD,EIG/AEN_ CPN,S 1/23/2025: Referred to EIG/AEN_ CPN.,"Repeals biomass from the renewable portfolio standard definition of ""renewable energy"".",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=680&year=2025,true
false,SB567,RELATING TO TAXATION.,RICHARDS_ CHANG_ DECOITE_ FEVELLA_ HASHIMOTO_ KANUHA_ MCKELVEY_ Fukunaga_ Wakai,HHS_ WAM,S 1/21/2025: Referred to HHS_ WAM.,Establishes an income tax credit for medically-related travel expenses not covered by insurance.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=567&year=2025,true
false,SB808,RELATING TO COVERED OFFENDER REGISTRATION.,FUKUNAGA,HHS_ JDC,S 1/23/2025: Referred to HHS_ JDC.,Amends covered offender registration laws to include offenders who_ while acting in a professional capacity_ commit the offense of sexual assault in the fourth degree against a minor who is at least sixteen years old.  Provides that the exception to public access requirements does not apply when the covered offense was committed against a minor.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=808&year=2025,true
false,SB928,RELATING TO CULTURE AND THE ARTS.,KANUHA,TCA,S 1/23/2025: Referred to TCA.,Short form bill.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=928&year=2025,true
false,SB1066,RELATING TO LONG DURATION CLEAN ENERGY STORAGE.,KEOHOKALOLE_ San Buenaventura,EIG_ WAM,S 1/23/2025: Referred to EIG_ WAM.,Amends the Hawaii renewable hydrogen program and hydrogen investment capital special fund to include a broader focus on long duration clean energy storage.  Transfers responsibility for the program to the Hawaii State Energy Office.  Appropriates funds.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1066&year=2025,true
false,SB1472,RELATING TO FUNDING ADJUSTMENTS FOR STATE PROGRAMS.,KOUCHI (Introduced by request of another party),GVO_ WAM,S 1/27/2025: Referred to GVO_ WAM.,Authorizes supplemental allotments and transfer of unrequired balances for capital improvement program projects and establishes a protocol fund for each state principal department.  Effective upon approval.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=1472&year=2025,true
false,HB340,RELATING TO RENEWABLE ENERGY.,LOWEN,"EEP, CPC, FIN",(H) 1/28/2025- The committee(s) on EEP recommend(s) that the measure be deferred.,Requires the Public Utilities Commission to establish a streamlined grid-ready homes interconnection process.  Authorizes the use of the Hawaii electricity reliability surcharge for cost recovery of certain expenses of the Hawaii electricity reliability administrator associated with the grid-ready homes interconnection process.  Requires report to the Legislature on the grid-ready homes interconnection process.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=340&year=2025,true
false,HB484,RELATING TO TRANSITIONAL HOMES.,MURAOKA,"HSH, HSG, FIN","(H) 1/21/2025- Referred to HSH, HSG, FIN, referral sheet 2","Establishes the Hawaii Efficient Transitional Homes Commission to provide recommendations for the efficient, effective, and transparent management of transitional homes. Requires annual reports to the Legislature.",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=484&year=2025,true
false,HB487,RELATING TO GOVERNMENT EFFICIENCY.,MURAOKA,"LMG, FIN","(H) 1/21/2025- Referred to LMG, FIN, referral sheet 2",Appropriate funds to the legislative reference bureau to procure artificial intelligence software and analytic services to streamline state law and regulations.  Requires a report to the legislature.,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=487&year=2025,true
false,HB956,RELATING TO IRONWORKERS.,KILA,"LAB, CPC, JHA",(H) 1/30/2025- The committee(s) on LAB recommend(s) that the measure be deferred.,"Prohibits any person from disassembling, dismantling, or demolishing iron projects unless the person has completed an apprenticeship program for ironworkers approved and registered with the Director of Labor and Industrial Relations.  Establishes penalties.  Requires the Department of Labor and Industrial Relations to adopt rules.",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=956&year=2025,true
false,HB957 HD1 SD1 CD1,RELATING TO LAULAU DAY.,"KILA, LEE, M., MARTEN",TCA,"(H) 7/2/2025- Act 270, on 07/02/2025 (Gov. Msg. No. 1373).","Designates the first Friday in May of each year as ""Laulau Day"" in the State.  (CD1)",https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=957&year=2025,true
false,HB960 HD1 SD1 CD1,RELATING TO TRANSPORTATION.,"KILA, EVSLIN, GARRETT","TCA, WAM","(H) 6/25/2025- Act 207, on 06/25/2025 (Gov. Msg. No. 1309).",Increases the maximum value of capital advancement contracts that may be executed by the Department of Transportation without legislative approval.  Increases the minimum value of capital advancement contracts requirement for the Department of Transportation to obtain legislative approval through concurrent resolution.  Increases the total aggregate value of capital advancement contracts that the Department of Transportation may enter into in a fiscal year.  Establishes reporting requirements related to capital advancement contracts.  (CD1),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=960&year=2025,true
false,HB1144 HD2,RELATING TO EMPLOYMENT IN THE STATE HISTORIC PRESERVATION PROGRAM.,NAKAMURA (Introduced by request of another party),"WTL/LBT, WAM","(S) 3/4/2025- Referred to WTL/LBT, WAM.",Allows the Department of Land and Natural Resources to employ non-civil service professional and technical staff in its State Historic Preservation Program.  Effective 7/1/3000.  (HD2),https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=HB&billnumber=1144&year=2025,true
